date,title_senti_comp,news_senti_comp,avg_senti_comp
2016-08-01,0.0,0.6369,0.32
2016-08-05,0.0,0.7828999999999999,0.39
2016-08-18,0.0,0.8402,0.42
2016-08-19,-0.4588,-0.7239,-0.59
2016-08-30,0.0,0.8824000000000001,0.445
2016-09-01,0.0,0.4939,0.25
2016-09-02,0.0,0.3953,0.2
2016-09-03,0.0,0.0,0.0
2016-09-09,0.2023,0.885,0.54
2016-09-16,0.0,0.0,0.0
2016-09-19,0.0,-0.44110000000000005,-0.225
2016-09-21,0.0,-0.0803,-0.04
2016-09-24,0.0,-0.5106,-0.26
2016-10-07,0.0,0.46435,0.23
2016-10-10,0.0,0.9448,0.47
2016-10-19,0.10115,0.5485,0.325
2016-10-20,0.0,0.7152,0.36
2016-10-21,0.0,0.42595,0.215
2016-10-24,0.0,0.5423,0.27
2016-10-26,0.0,0.4787,0.24
2016-11-03,0.0,0.9371,0.47
2016-11-05,-0.15293333333333334,0.2584,0.05333333333333334
2016-11-15,-0.4404,0.8338,0.2
2016-11-18,0.4939,0.9371,0.72
2016-11-24,0.296,0.296,0.3
2016-11-29,0.0,0.35105000000000003,0.175
2016-12-14,0.0,0.7303666666666667,0.3666666666666667
2016-12-23,0.5106,0.9118,0.71
2016-12-29,0.17,0.91125,0.54
2017-01-04,0.296,0.296,0.3
2017-01-16,0.2202,0.91635,0.565
2017-01-17,0.0,0.0,0.0
2017-01-18,0.11333333333333334,0.5512666666666667,0.3333333333333333
2017-02-27,0.0,0.5209,0.26
2017-03-01,0.4404,0.8979,0.67
2017-03-15,0.0,0.4588,0.23
2017-03-22,0.0,0.4588,0.23
2017-03-25,0.0,0.0,0.0
2017-03-28,0.0,0.0,0.0
2017-03-30,0.2294,0.9291499999999999,0.58
2017-04-01,0.0,0.5686,0.28500000000000003
2017-04-03,0.0,0.9196,0.46
2017-04-05,0.0,0.82425,0.41500000000000004
2017-04-07,0.4404,0.9729,0.71
2017-04-12,0.0,0.9517,0.48
2017-04-20,0.0,0.82425,0.41500000000000004
2017-04-21,0.0,0.86435,0.435
2017-04-22,0.0,0.6124,0.31
2017-04-24,0.0,0.18514999999999998,0.09499999999999999
2017-04-25,0.2936,0.7174,0.5033333333333333
2017-04-27,0.24695,0.7483500000000001,0.5
2017-05-02,-0.4404,-0.1531,-0.3
2017-05-03,0.3182,0.8481,0.58
2017-05-05,0.3612,0.7717,0.57
2017-05-22,0.17,0.9166000000000001,0.545
2017-06-12,0.0,0.9357,0.47
2017-06-14,0.0,0.2263,0.11
2017-06-16,0.3182,0.1655,0.24
2017-06-27,0.0,0.6124,0.31
2017-06-29,0.11315,0.28125,0.2
2017-06-30,0.0,0.8481,0.42
2017-07-05,0.17,0.32195,0.245
2017-07-10,-0.4404,-0.6124,-0.53
2017-07-12,0.0,0.8174,0.41
2017-07-14,0.0,0.616,0.31
2017-07-20,0.0,0.2263,0.11
2017-07-21,0.21043333333333333,0.7575166666666666,0.48500000000000004
2017-07-22,0.0,0.0,0.0
2017-07-26,0.0,0.5994,0.3
2017-07-29,0.0,0.0,0.0
2017-08-04,0.8316,0.9885,0.91
2017-08-23,0.0,0.296,0.15
2017-08-24,0.0,0.22630000000000003,0.11
2017-08-28,0.0,0.5994,0.3
2017-08-29,0.0,0.296,0.15
2017-08-30,0.0,0.296,0.15
2017-08-31,0.0,0.37715000000000004,0.19
2017-09-01,0.0,0.9251,0.46
2017-09-04,0.0,0.9376,0.47
2017-09-07,0.1779,0.8957,0.54
2017-09-08,0.0,0.8625,0.43
2017-09-13,0.0,0.0,0.0
2017-09-21,0.3182,0.6124,0.47
2017-09-26,0.4404,0.5994,0.52
2017-09-28,0.3182,0.9235,0.62
2017-10-05,0.4588,0.7506,0.6
2017-10-06,0.6822,0.75795,0.72
2017-10-14,0.4404,0.8979,0.67
2017-10-16,0.4404,0.9356,0.69
2017-10-18,0.0,0.04105,0.02500000000000001
2017-10-23,0.0,0.92595,0.46499999999999997
2017-11-06,0.2732,0.9392,0.61
2017-11-10,0.0,0.765,0.38
2017-11-15,0.17,0.43535,0.3
2017-11-21,0.15293333333333334,0.38156666666666667,0.26666666666666666
2017-11-23,0.0,0.92055,0.45999999999999996
2017-11-24,0.21075,0.72165,0.46499999999999997
2017-11-28,0.0,0.9366,0.47
2017-11-30,0.0,0.4019,0.2
2017-12-05,0.0,0.7239,0.36
2017-12-08,0.0,0.2363,0.12
2017-12-13,0.0,0.4767,0.24
2017-12-21,0.0,0.0,0.0
2017-12-29,0.1779,0.9477,0.56
2018-01-02,0.0,0.0,0.0
2018-01-03,0.17,0.9675,0.5700000000000001
2018-01-12,0.0,0.4767,0.24
2018-01-16,0.0,0.8957,0.45
2018-01-17,0.0,0.2263,0.11
2018-01-20,0.0,0.0,0.0
2018-01-24,0.0,0.2263,0.11
2018-02-01,-0.4215,-0.743,-0.58
2018-02-05,0.0,0.6705,0.34
2018-02-08,0.0,0.93,0.46
2018-02-12,0.802,0.9442,0.87
2018-02-17,0.296,0.6486,0.47
2018-02-19,0.34,0.8255,0.58
2018-02-21,0.17975000000000002,0.904825,0.5425
2018-02-26,0.58735,0.9337500000000001,0.76
2018-02-28,0.802,0.9764,0.89
2018-03-01,0.802,0.9912,0.9
2018-03-03,0.0,0.6486,0.32
2018-03-06,0.19063333333333332,0.7911333333333334,0.49
2018-03-12,0.17,0.7667999999999999,0.47
2018-03-16,0.8658,0.9698,0.92
2018-03-22,0.0,0.977,0.49
2018-03-24,0.24695,0.4559,0.35
2018-03-26,0.4939,0.9429,0.72
2018-03-28,0.6486,0.9186,0.78
2018-04-04,0.0,0.43535,0.215
2018-04-13,0.18213333333333334,0.8860666666666667,0.5333333333333333
2018-04-16,0.0,0.34,0.17
2018-04-19,-0.4404,-0.5994,-0.52
2018-04-25,0.0,0.4767,0.24
2018-04-26,0.34,0.7553,0.55
2018-05-04,0.4588,0.9705,0.71
2018-05-11,0.17,0.7667999999999999,0.47
2018-05-18,0.128,0.9276,0.53
2018-05-21,0.0,0.875,0.44
2018-05-30,0.0,0.9062,0.45
2018-05-31,-0.148,0.3018,0.08000000000000002
2018-06-01,0.0,0.552,0.28
2018-06-06,0.0,0.1154,0.06
2018-06-08,0.31845,0.6225499999999999,0.47000000000000003
2018-06-11,0.0,0.39973333333333333,0.19999999999999998
2018-06-12,0.148,0.48655000000000004,0.32
2018-06-13,0.0,0.4242333333333333,0.21
2018-06-14,0.34,0.6444,0.49
2018-06-15,0.0,0.2263,0.11
2018-06-25,0.17,0.43535,0.3
2018-06-26,0.0,0.76325,0.38
2018-06-30,0.24695,0.92615,0.59
2018-07-04,0.296,0.296,0.3
2018-07-05,0.0,0.8372666666666667,0.4166666666666667
2018-07-06,0.0,0.51845,0.26
2018-07-21,0.0,0.6369,0.32
2018-07-23,0.0,0.2263,0.11
2018-07-25,0.11333333333333334,0.6398,0.37666666666666665
2018-07-28,0.4404,0.8402,0.64
2018-08-03,0.0,0.6088666666666667,0.30333333333333334
2018-08-07,0.0,0.9186,0.46
2018-08-13,0.16463333333333333,0.6849666666666666,0.42333333333333334
2018-08-16,0.0,0.2263,0.11
2018-08-20,0.0,0.81945,0.41000000000000003
2018-08-21,0.28353333333333336,0.6815333333333333,0.48333333333333334
2018-08-25,0.0,0.2263,0.11
2018-08-30,0.1591,0.35015,0.255
2018-09-10,0.0,0.2263,0.11
2018-09-11,0.0,0.6705,0.34
2018-09-15,0.0,0.2263,0.11
2018-09-17,0.0,0.2263,0.11
2018-09-19,0.0,0.6831,0.345
2018-09-21,-0.2202,0.5337500000000001,0.155
2018-09-22,0.0,0.9337,0.47
2018-09-24,0.34,0.955,0.65
2018-09-27,0.0,0.5859,0.29
2018-09-28,0.0,0.8,0.4
2018-10-08,0.2732,0.7717,0.52
2018-10-19,0.21906666666666666,0.7913666666666667,0.5033333333333333
2018-10-20,0.0,0.765,0.38
2018-10-22,0.34,0.8176,0.58
2018-11-09,0.0,0.07655,0.04
2018-11-13,0.44504999999999995,0.74485,0.595
2018-11-21,0.0,0.20215000000000002,0.09999999999999999
2018-11-22,0.0,0.21805000000000002,0.105
2018-11-26,0.0,0.7524500000000001,0.38
2018-11-28,0.0,0.71155,0.36
2018-11-30,0.0,0.0,0.0
2018-12-04,0.0,0.40750000000000003,0.20333333333333334
2018-12-05,-0.148,0.7288,0.29000000000000004
2018-12-10,0.2732,0.8176,0.55
2018-12-12,0.11333333333333334,0.5315,0.3233333333333333
2018-12-14,0.0,0.19655,0.09999999999999999
2018-12-18,0.0,0.4588,0.23
2018-12-20,0.0,0.2263,0.11
2018-12-24,0.0,0.9547,0.475
2018-12-26,0.0,0.8347249999999999,0.4175
2018-12-27,0.34,0.8107,0.58
2018-12-31,0.211275,0.56195,0.38749999999999996
2019-01-01,0.0,0.0516,0.03
2019-01-03,0.0,0.616,0.31
2019-01-05,0.23835,0.73875,0.485
2019-01-08,0.0,0.8225,0.41
2019-01-09,0.0,0.8993,0.45
2019-01-11,-0.5719,-0.7579,-0.66
2019-01-16,0.17985,0.528,0.35000000000000003
2019-01-18,0.2936,0.5825333333333332,0.4366666666666667
2019-01-19,0.0,0.7351,0.37
2019-01-21,-0.09545,0.11737500000000001,0.010000000000000009
2019-01-24,0.0,0.8707499999999999,0.435
2019-01-29,0.0,0.4767,0.24
2019-02-07,0.0,0.2263,0.11
2019-02-09,0.0,0.4939,0.25
2019-02-14,0.0,0.2263,0.11
2019-02-18,0.5106,-0.2732,0.12
2019-02-21,0.0,0.7288,0.365
2019-02-23,0.19733333333333333,0.5085666666666667,0.35666666666666663
2019-02-25,0.0,0.743,0.36999999999999994
2019-02-26,0.0,0.2263,0.11
2019-02-28,-0.0258,0.2732,0.12
2019-03-02,-0.0258,0.2732,0.12
2019-03-04,0.4939,0.8110999999999999,0.65
2019-03-06,0.0,0.5895333333333334,0.29333333333333333
2019-03-08,0.0,0.5994,0.3
2019-03-11,0.0,0.1779,0.09
2019-03-14,-0.07655,0.1499,0.034999999999999976
2019-03-15,0.1589,0.7614000000000001,0.46
2019-03-16,0.5106,0.5106,0.51
2019-03-19,0.4939,0.8074,0.65
2019-03-22,0.0,0.5568,0.28
2019-03-25,0.0,0.4404,0.22
2019-03-26,0.0,0.7579,0.38
2019-03-28,0.0516,0.3182,0.18
2019-04-03,0.4767,0.96925,0.725
2019-04-04,0.4939,0.886,0.69
2019-04-05,-0.4767,-0.2263,-0.35
2019-04-11,0.0,0.2263,0.11
2019-04-12,0.0,0.6124,0.31
2019-04-15,0.0,0.3182,0.16
2019-04-16,0.0,0.2263,0.11
2019-04-17,0.0,0.0772,0.04
2019-04-18,0.0,0.6505,0.32666666666666666
2019-04-20,0.2202,0.4198,0.31999999999999995
2019-04-22,0.4404,0.8552500000000001,0.6499999999999999
2019-04-23,0.0,0.43535,0.215
2019-04-24,0.17,0.43535,0.3
2019-05-08,0.8807,0.987,0.93
2019-05-10,0.24695,0.8876999999999999,0.57
2019-05-15,0.0,0.3991,0.19999999999999998
2019-05-16,0.34,0.6444,0.49
2019-05-17,0.3612,0.709,0.54
2019-05-18,0.0,0.5994,0.3
2019-05-21,0.0,0.7492666666666666,0.37666666666666665
2019-05-28,0.0,0.296,0.15
2019-06-07,0.0,0.60835,0.305
2019-06-11,-0.5719,-0.7906,-0.68
2019-06-12,0.0,0.08605,0.045
2019-06-18,-0.34,-0.7301,-0.54
2019-06-24,0.0,0.6369,0.32
2019-06-25,0.0,0.6656500000000001,0.33499999999999996
2019-07-01,0.0,0.32195,0.16
2019-07-03,0.09866666666666667,0.5009,0.3
2019-07-04,0.17,0.9567,0.56
2019-07-09,0.4939,0.86755,0.6799999999999999
2019-07-11,0.11333333333333334,0.33840000000000003,0.22666666666666666
2019-07-16,0.17,0.6357,0.4
2019-07-18,-0.2202,0.47645000000000004,0.13
2019-07-19,0.0,0.5845333333333333,0.29333333333333333
2019-07-20,0.47550000000000003,0.88005,0.675
2019-07-22,0.42545,0.64215,0.535
2019-07-23,0.17,0.70245,0.43499999999999994
2019-07-24,0.0,0.2263,0.11
2019-07-29,0.0,0.49365000000000003,0.25
2019-08-05,0.0,0.2732,0.14
2019-08-07,0.0,0.6705,0.34
2019-08-08,0.0,0.8176,0.41
2019-08-12,0.0,0.48106,0.242
2019-08-13,0.0,0.47512499999999996,0.2375
2019-08-19,0.1858,0.8266666666666667,0.5066666666666667
2019-08-20,0.5106,0.5994,0.56
2019-08-23,0.0,0.9184,0.45999999999999996
2019-08-26,0.0,0.9367,0.47
2019-08-28,0.2023,0.4588,0.33
2019-09-05,0.31245,0.9602999999999999,0.635
2019-09-06,0.0,0.9037999999999999,0.45
2019-09-09,0.17,0.28125,0.225
2019-09-12,0.0,0.4404,0.22
2019-09-13,-0.0772,0.4019,0.16
2019-09-16,-0.4404,0.34,-0.05
2019-09-18,0.2553,0.6819,0.47
2019-09-19,0.16463333333333333,0.6687666666666666,0.4166666666666667
2019-09-20,-0.0129,0.366,0.175
2019-09-24,0.0,0.6831,0.345
2019-10-03,-0.296,0.4215,0.06
2019-10-07,0.0,0.6486,0.32
2019-10-10,-0.09106666666666667,0.5272333333333333,0.22
2019-10-11,-0.0258,0.2732,0.12
2019-10-14,0.04235,0.24409999999999998,0.14499999999999996
2019-10-15,0.0,0.97705,0.49
2019-10-19,0.1468,0.3369333333333333,0.24
2019-10-22,0.068,0.49934,0.286
2019-10-23,0.0,0.1027,0.05
2019-10-24,0.5106,0.4588,0.48
2019-10-29,0.0,0.5101333333333333,0.25333333333333335
2019-10-31,0.0,0.60335,0.3
2019-11-02,-0.0258,0.5106,0.24
2019-11-07,0.1806,0.36125,0.27
2019-11-08,0.0,0.7506,0.38
2019-11-11,-0.4767,-0.3612,-0.42
2019-11-19,0.0,0.2177,0.11
2019-11-20,-0.09106666666666667,0.4686666666666666,0.18999999999999997
2019-11-28,0.0,0.616,0.31
2019-11-29,0.0,0.7579,0.38
2019-11-30,0.0,0.3818,0.19
2019-12-02,0.0,0.6345333333333333,0.31666666666666665
2019-12-04,0.0,0.7269,0.36
2019-12-05,0.4391,0.73645,0.585
2019-12-11,0.0,0.936,0.47
2019-12-12,0.17,0.8973,0.535
2019-12-14,0.0,0.872,0.44
2019-12-16,0.17,0.90915,0.54
2019-12-17,0.293675,0.8448,0.5675
2019-12-18,0.0,0.9378,0.47
2019-12-20,0.0,0.8834,0.44
2019-12-21,-0.0258,0.5106,0.24
2019-12-24,0.5719,0.7717,0.67
